,Year,Arrivals Total,Arrivals Male,Arrivals Female,Departures Total,Departures Male,Departures Female,Migration Balance Total,Migration Balance Male,Migration Balance Female
0,2002,5056.0,2448.0,2608.0,4273.0,2077.0,2196.0,783.0,371.0,412.0
1,2003,4893.0,2348.0,2545.0,4339.0,2974.0,1365.0,554.0,274.0,280.0
2,2004,4853.0,2298.0,2555.0,4357.0,2115.0,2242.0,496.0,183.0,313.0
3,2005,4987.0,2342.0,2645.0,4624.0,2208.0,2416.0,363.0,134.0,229.0
4,2006,4728.0,2273.0,2455.0,4583.0,2242.0,2341.0,145.0,31.0,114.0
6,2007,4906.0,2274.0,2632.0,4405.0,2140.0,2265.0,501.0,134.0,367.0
7,2008,4876.0,2356.0,2520.0,4410.0,2090.0,2320.0,466.0,266.0,200.0
8,2009,4811.0,2332.0,2479.0,4532.0,2167.0,2365.0,279.0,165.0,114.0
9,2010,5163.0,2466.0,2697.0,4773.0,2317.0,2456.0,390.0,129.0,261.0
10,2011,5260.0,2455.0,2805.0,4784.0,2270.0,2514.0,476.0,185.0,291.0
12,2012,5379.0,2553.0,2826.0,5213.0,2495.0,2718.0,166.0,58.0,108.0
13,2013,5922.0,2829.0,3093.0,5645.0,2634.0,3011.0,277.0,195.0,82.0
14,2014,6761.0,3325.0,3436.0,5697.0,2741.0,2856.0,1064.0,584.0,480.0
15,2015,7466.0,3781.0,3685.0,5799.0,2809.0,2990.0,1667.0,972.0,695.0
16,2016,8367.0,4386.0,3981.0,5824.0,2884.0,2940.0,2543.0,1502.0,1041.0
18,2017,9843.0,5391.0,4452.0,9232.0,5076.0,4156.0,611.0,315.0,296.0
19,2018,9274.0,5019.0,4155.0,8196.0,4307.0,3889.0,1078.0,712.0,366.0
20,2019,8347.0,4432.0,3915.0,8090.0,4216.0,3874.0,257.0,216.0,41.0
21,2020,6880.0,3693.0,3187.0,7273.0,3807.0,3466.0,-393.0,-114.0,-279.0
