,Age Range,Birth Year,Total Population,Male Population,Female Population
1,0 - 1,2020.0,735,386,349
2,1 - 2,2019.0,762,364,398
3,3 - 4,2017.0,726,357,369
4,4 - 5,2016.0,664,353,311
5,5 - 6,2015.0,638,322,316
6,6 - 7,2014.0,597,304,293
7,7 - 8,2013.0,610,311,299
8,8 - 9,2012.0,617,331,286
9,9 - 10,2011.0,539,293,246
10,10 - 11,2010.0,563,270,293
11,11 - 12,2009.0,562,278,284
12,12 - 13,2008.0,553,273,280
13,13 - 14,2007.0,582,290,292
14,14 - 15,2006.0,533,263,270
15,15 - 16,2005.0,537,265,272
16,16 - 17,2004.0,565,292,273
17,17 - 18,2003.0,579,300,279
18,18 - 19,2002.0,638,332,306
19,19 - 20,2001.0,718,351,367
20,20 - 21,2000.0,897,434,463
21,21 - 22,1999.0,970,485,485
22,22 - 23,1998.0,1116,540,576
23,23 - 24,1997.0,1351,626,725
24,24 - 25,1996.0,1318,619,699
25,25 - 26,1995.0,1354,644,710
26,26 - 27,1994.0,1459,694,765
27,27 - 28,1993.0,1413,713,700
28,28 - 29,1992.0,1468,742,726
29,29 - 30,1991.0,1446,759,687
30,30 - 31,1990.0,1487,760,727
31,31 - 32,1989.0,1536,758,778
32,32 - 33,1988.0,1439,760,679
33,33 - 34,1987.0,1403,748,655
34,34 - 35,1986.0,1273,681,592
35,35 - 36,1985.0,1145,632,513
36,36 - 37,1984.0,1059,571,488
37,37 - 38,1983.0,1037,551,486
38,38 - 39,1982.0,1062,562,500
39,39 - 40,1981.0,945,470,475
40,40 - 41,1980.0,882,429,453
41,41 - 42,1979.0,912,436,476
42,42 - 43,1978.0,832,427,405
43,43 - 44,1977.0,826,430,396
44,44 - 45,1976.0,854,423,431
45,45 - 46,1975.0,814,398,416
46,46 - 47,1974.0,756,383,373
47,47 - 48,1973.0,806,376,430
48,48 - 49,1972.0,863,394,469
49,49 - 50,1971.0,991,508,483
50,50 - 51,1970.0,989,499,490
51,51 - 52,1969.0,1053,542,511
52,52 - 53,1968.0,1119,543,576
53,53 - 54,1967.0,1070,543,527
54,54 - 55,1966.0,1021,504,517
55,55 - 56,1965.0,1091,532,559
56,56 - 57,1964.0,1114,500,614
57,57 - 58,1963.0,1139,582,557
58,58 - 59,1962.0,1064,511,553
59,59 - 60,1961.0,1078,546,532
60,60 - 61,1960.0,1022,485,537
61,61 - 62,1959.0,963,481,482
62,62 - 63,1958.0,941,415,526
63,63 - 64,1957.0,877,405,472
64,64 - 65,1956.0,868,409,459
65,65 - 66,1955.0,810,391,419
66,66 - 67,1954.0,773,362,411
67,67 - 68,1953.0,740,336,404
68,68 - 69,1952.0,681,308,373
69,69 - 70,1951.0,705,337,368
70,70 - 71,1950.0,711,322,389
71,71 - 72,1949.0,693,304,389
72,72 - 73,1948.0,676,309,367
73,73 - 74,1947.0,656,293,363
74,74 - 75,1946.0,563,248,315
75,75 - 76,1945.0,431,194,237
76,76 - 77,1944.0,586,252,334
77,77 - 78,1943.0,597,268,329
78,78 - 79,1942.0,556,241,315
79,79 - 80,1941.0,663,252,411
80,80 - 81,1940.0,687,292,395
81,81 - 82,1939.0,659,264,395
82,82 - 83,1938.0,543,213,330
83,83 - 84,1937.0,514,189,325
84,84 - 85,1936.0,462,168,294
85,85 - 90,,1527,535,992
86,90 - 95,,648,173,475
87,95 und mehr,,190,32,158
