Year,Births,Deaths,Natural Balance,Arrivals,Departures,Migration Balance,Total Balance,Total Population
2007,620.0,854.0,-234.0,4906.0,4405.0,501.0,267.0,71210.0
2008,622.0,871.0,-249.0,4876.0,4410.0,466.0,217.0,71427.0
2009,612.0,840.0,-228.0,4811.0,4532.0,279.0,51.0,71478.0
2010,663.0,832.0,-169.0,5163.0,4773.0,390.0,221.0,71699.0
2011,579.0,853.0,-274.0,5260.0,4784.0,476.0,202.0,70712.0
2012,606.0,807.0,-201.0,5279.0,5213.0,166.0,-35.0,70677.0
2013,660.0,838.0,-178.0,5922.0,5645.0,277.0,99.0,70766.0
2014,610.0,784.0,-174.0,6761.0,5697.0,1064.0,890.0,71666.0
2015,662.0,874.0,-212.0,7466.0,5799.0,1667.0,1455.0,73121.0
2016,734.0,865.0,-131.0,8367.0,5824.0,2543.0,2412.0,75533.0
2017,811.0,848.0,-37.0,9843.0,9232.0,611.0,574.0,76107.0
2018,830.0,855.0,-25.0,9274.0,8196.0,1078.0,1053.0,77160.0
2019,812.0,836.0,-24.0,8347.0,8090.0,257.0,233.0,77393.0
2020,740.0,846.0,-106.0,6880.0,7273.0,-393.0,-499.0,76894.0
2021,799.0,949.0,-150.0,9145.0,8131.0,1014.0,864.0,7778.0
