,Year,Total Arrivals,Total Overnight Stays,Domestic Arrivals,Domestic Overnight Stays,Foreign Arrivals,Foreign Overnight Stays
0,2013,298598.0,522116.0,251974.0,438460.0,46624.0,83656.0
1,2014,307160.0,541603.0,259256.0,454411.0,47904.0,87192.0
2,2015,348137.0,606947.0,291547.0,506224.0,56590.0,100723.0
3,2016,373089.0,659854.0,313997.0,553525.0,59092.0,106329.0
4,2017,385117.0,684500.0,324072.0,574185.0,61045.0,110315.0
5,2018,394333.0,708202.0,329968.0,588262.0,64365.0,119940.0
6,2019,425616.0,753220.0,361641.0,638657.0,63975.0,114563.0
7,2020,239190.0,441424.0,219604.0,406494.0,19586.0,34930.0
8,2021,232510.0,462099.0,212589.0,424327.0,19921.0,37772.0
9,2022,376353.0,726250.0,327844.0,626773.0,48509.0,99477.0
10,2023,422671.0,807294.0,363229.0,685388.0,59442.0,121906.0
