GENESIS-Tabelle: 13111-006z
Sozialversicherungspflichtig Beschäftigte: Gemeinden,;;;;;;;
Beschäftigte am Arbeitsort/Beschäftigte am Wohnort,;;;;;;;
Wirtschaftsbereiche, Stichtag;;;;;;;
Beschäftigungsstatistik;;;;;;;
Sozialversicherungspfl. Beschäftigte am Arbeitsort (Anzahl);;;;;;;
Kreise: Bamberg (Lkr);;;;;;;
;Wirtschaftsbereiche (WZ 2008);Wirtschaftsbereiche (WZ 2008);Wirtschaftsbereiche (WZ 2008);Wirtschaftsbereiche (WZ 2008);Wirtschaftsbereiche (WZ 2008);Wirtschaftsbereiche (WZ 2008);Wirtschaftsbereiche (WZ 2008)
;Insgesamt;A Land- und Forstwirtschaft, Fischerei;B-F Produzierendes Gewerbe;G-I Handel, Verkehr, Gastgewerbe;J-N Unternehmensdienstleister;O-U öffentliche und private Dienstleister;ohne Angabe des Wirtschaftszweiges
30.06.2013;33541;429;14755;9196;3175;5985;1
30.06.2014;34606;434;15259;9499;3907;5507;-
30.06.2015;35455;442;15206;10039;4100;5668;-
30.06.2016;36175;318;15877;10333;3881;5766;-
30.06.2017;37769;313;16570;11052;3400;6434;-
30.06.2018;39127;313;17356;11607;3264;6587;-
30.06.2019;40135;306;17746;11940;3370;6773;-
30.06.2020;38022;293;15404;11952;3220;7153;-
30.06.2021;40517;319;17179;12569;3213;7237;-
30.06.2022;40335;311;16376;12742;3404;7502;-
30.06.2023;40061;338;15931;12695;3538;7559;-
__________
"Quelle: Bundesagentur für Arbeit
 
Ab 2008: Revidierte Werte
 
 
 
Allgemeiner Hinweis zur Beschäftigungsstatistik:
-----------------------------------------------
Bei den Summen für 'Beschäftigte insgesamt', 'Beschäftigte
nach Geschlecht', 'Beschäftigte nach Altersgruppen',
'Beschäftigte nach Ausbildung' und 'Beschäftigte nach
Beschäftigungsumfang' sind die Fälle 'keine Angabe'
enthalten. 
Bei den Summen für 'Beschäftigte nach Wirtschaftsbereichen'
sind die Fälle 'ohne Angabe des Wirtschaftszweiges' mit
enthalten."
"Quelle: Bundesagentur für Arbeit
 
Ab 2008: Revidierte Werte"
"Hinweis zur Revision 2023 der Bundesagentur für Arbeit: 
Die Bundesagentur für Arbeit hat im Dezember 2023 die
Arbeitsortdaten für den Zeitraum ab Januar 2018 und die
Wohnortdaten ab Januar 2013 revidiert. Die Revision wurde
hier noch nicht vollzogen. Daher kommt es zu geringfügigen
Abweichungen zu Ergebnissen in Veröffentlichungen der
Bundesagentur für Arbeit."
© Bayerisches Landesamt für Statistik, Fürth 2024
Stand: 12.12.2024 / 16:49:55
